"participant_id","consent_age","consent_read","consent_participation","used_outside_study","motivation_use_accounts","what_to_change_specific","how_confident_secure","elaborate_confident_secure","how_confident_remember","elaborate_confident_remember","what_to_change_general","email_accounts","bank_accounts","work_accounts","retail_website_accounts","social_media_accounts","platform_none_of_the_above","platform_other_value","store_write_down","physical_note","save_as_file","save_in_browser","third_party_manager","system_provide_manager","mem_act_none_of_the_above","mem_act_other_value"
"33","1","1","1","No",,"I would add numbers","Slightly confident","I feel like they can be secure especially when using words that don't make complete sense or relate to my life","Moderately confident","I don't usually use these types of passwords so I would have to get used to them","Only to add numbers","0","0","0","0","0","1",NULL,"0","1","0","0","0","0","0",NULL
"34","1","1","1","No","It seems like a pretty secure password given the length.","I wouldn't change anything about the password itself, but I would write it down this time. I forgot my password in between waves of this study.","Moderately confident","The length of the five-word password makes me more confident that it would keep an online account safe. However, the length or complexity is irrelevant in the case of a security breach or hack which is why I'm not super confident about any password.","Slightly confident","I'd have to write them down at first before I've really memorized them.","Would four-word passwords be just as effective?","1","1","1","1","1","0",NULL,"0","0","0","0","0","0","1",NULL
"38","1","1","1","No",,"something that is more memorable to me","Moderately confident","I'm not knowledgable on how passwords are hacked","Slightly confident","I'm the type of person to use the same password for everything","not make it 5 words","0","0","0","0","0","1",NULL,"0","0","0","0","0","0","1",NULL
"39","1","1","1","No",,"I would take out all the .'s","Confident","I believe that they are safe but everything can be cracked.","Not confident","I don't think I could do it for more than one, I would confuse them with each other.","I would change the periods in between each word.","0","0","0","0","0","1",NULL,"1","0","0","0","0","0","0",NULL
"40","1","1","1","No",,"There was nothing I wanted to change","Confident","I am confident most people couldnt aquire this password but it is no more secure than my current passwords.","Not confident","I was unable to remember this one password so I doubt I could remember multiple passowords","I dont want to change anything","0","0","0","0","0","1",NULL,"0","0","0","0","0","0","1",NULL
"41","1","1","1","No","It seems fairly secure.","I'm pretty happy with it.","Moderately confident","I'm never totally confident with security, but it seems pretty secure.","Slightly confident","I might be able to remember a few of them, but not too many.","I like the format, I might use it in the future.","1","0","0","0","1","0",NULL,"1","0","0","0","0","0","0",NULL
"42","1","1","1","No",,"make it easier for me to remember","Confident","I am confident because your could make the words very difficult for someone to possibly know and therefore, not be able to log into your account","Not confident","I am not confident to remember different five-word passwords because they can be difficult and my memory is not the greatest","if I did change them it would be to make it something more memorable for myself","0","0","0","0","0","1",NULL,"0","0","0","0","0","0","1",NULL
"43","1","1","1","No",,"make them only three words with Some CAPS letters.","Moderately confident","It is long enough to make it hard to guess.","Slightly confident","If I have to use it everyday I can easily remember it otherwise cant remember.","Put some CAPS.","0","0","0","0","0","1",NULL,"0","1","0","0","0","0","0",NULL
"55","1","1","1","No","cause it is really nice to assimilate","nothing really","Moderately confident","cause it can be easily gotten","Confident","cause i need easy memory remembrance","nothing","1","0","0","0","0","0",NULL,"0","1","0","0","0","0","0",NULL
"61","1","1","1","No","I feel like it is a pretty safe password, though I think that using a collection of random letters, numbers, and symbols would be more safe.","nothing","Slightly confident","I think that it could be easy for a hacker to guess the rest of the word once he uncoded the first few letters.","Not confident","If the words had some meaning to me, that would be easier to remember.","the words. Something that I recognize/means something to me","1","0","1","1","1","0",NULL,"1","0","0","0","0","0","0",NULL
"65","1","1","1","No",,"Nothing.","Moderately confident","I think it's okay but I prefer using a randomized password from my password manager that contains numbers and special characters.","Not confident","I don't memorize my passwords. I use a password manager.","Nothing.","0","0","0","0","0","1",NULL,"0","0","1","0","0","0","0",NULL
"71","1","1","1","No",,"numbers/symbols/case","Moderately confident","Seems like its random enough but no numbers or symbols and case variation","Slightly confident","I can probably remember some if the words make sense in order","case/symbols /numbers","0","0","0","0","0","1",NULL,"1","0","0","0","0","0","0",NULL
"75","1","1","1","No","I think it would be a good way to keep those accounts secure.","I wouldn't change anything.","Confident","I think its unique enough it could keep online accounts safe.","Moderately confident","If used regularly it wouldn't be that hard if you treat it like a phrase. I could see some difficultly remembering multiple sets of five words.","I wouldn't change anything.","0","0","0","1","1","0",NULL,"0","0","0","1","0","0","0",NULL
"76","1","1","1","No",,"nothing","Slightly confident","words are usually derived from things familiar to an individual.  As such they are subject to guessing.","Not confident","one can be done. More than one becomes confusing.  These passwords, in order to be remembered, will almost always reference the item they are protecting.","omit them all together.  ","0","0","0","0","0","1",NULL,"0","0","1","0","0","0","0",NULL
"77","1","1","1","No",,"i don't want to change","Confident"," that five-word passwords are capable of keeping my online accounts safe and i am so confident because my password is so strong.","Not confident","i don't want to keep this type of password in several platform because i may forget.","i don't want to change","0","0","0","0","0","1",NULL,"1","0","0","0","0","0","0",NULL
"80","1","1","1","No","it's nothing too complicated, and it's easy to replace","i'd make up a better, more-easily-remembered 5 word phrase","Moderately confident","I think made-up words and other special characters/changes of case would be more secure","Not confident","that's just not how i've ever formatted passwords","more special characters","0","0","0","1","1","0",NULL,"0","0","0","0","0","0","1",NULL
"83","1","1","1","No","It seems like a strong, secure password","Add more capital letters and numbers","Confident","I'm confident because it is uncommon","Not confident","Memory issues","Make it slightly easier to remember if I was using multiple ones","1","0","0","0","1","0",NULL,"0","1","0","0","0","0","0",NULL
"92","1","1","1","No","I feel like these have important information, so a good password would be needed for these types of sites.","nothing","Confident","I think random words are not easily available to hack or guess. ","Slightly confident","Cant really remember multiple different passwords, I would have to write it down. ","nothing","1","1","1","1","0","0",NULL,"0","0","1","0","0","0","0",NULL
