"participant_id","consent_age","consent_read","consent_participation","treatment_ver","num_unique_pword","manage_pword","imagine_create_pword","how_create_strong_pword","why_this_pword_tre1","why_this_pword_tre2","why_this_pword_tre3","secure_pword_rating","mem_actions_taken","how_likely_remem_1week","how_likely_to_use","demo_gender","demo_age","demo_education","demo_background","store_write_down","reset_every_time","physical_note","save_as_file","save_in_browser","third_party_manager","system_provide_manager","none_of_the_above","other_value","email_accounts","bank_accounts","work_accounts","retail_website_accounts","social_media_accounts","none_of_the_above","other_value","tot_new_pword_cnt","start_attempt_cnt","start_new_pword_cnt","start_new_pword_cnt","start_tre2_word1_cnt","start_tre2_word2_cnt","start_tre2_word3_cnt","start_tre2_word4_cnt","start_tre2_word5_cnt","start_show_pword","mid_attempt_cnt","mid_new_pword_cnt","mid_tre2_word1_cnt","mid_tre2_word2_cnt","mid_tre2_word3_cnt","mid_tre2_word4_cnt","mid_tre2_word5_cnt","mid_show_pword","end_attempt_cnt","end_show_pword"
"32","1","1","1","treatment3","2-3","i use a specific format for related websites, apps, and then i just change few characters to ease memorizing the password or use a password manager. ","i will use a work related object which i see everyday in the department","combination of words and characters, was inspired by a movie i watched.",,,"just had to randomly choose from the things i see around me so i can easily remember the words.","Somewhat more secure","i choose words i use almost everyday which i can easily remember","Somewhat likely","Somewhat likely","Man","25 - 34","Master's Degree","I have an education in, or work in, the field of computer science, computer engineering or IT.","0","0","0","1","1","0","0","0",NULL,"1","1","1","0","1","0",NULL,"1","3","1","1","0","0","0","0","0","1","1","0","0","0","0","0","0","0","1","1"
"33","1","1","1","treatment1","4-6","Passwords used for work are the same and changed monthly. Use the same passwords for sites needed for work purposes.","Use a letters, numbers and symbol","Personal information known to myself, adding in numbers and symbols","The first letter of each word was easier to remember",,,"Somewhat more secure","I try to use acronyms as much as possible with familiar numbers related to dates ","Very likely","Very likely","Woman","25 - 34","Trade, technical, or vocational training","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT.","1","0","0","0","0","0","0","0",NULL,"1","1","1","0","1","0",NULL,"5","1","5","5","0","0","0","0","0","1","1","0","0","0","0","0","0","1","1","1"
"34","1","1","1","treatment2","more than 10","Not well. I do not write them down or use a password manager so I often have to reset my passwords.","I would create a variation of a password I already use.","I joined three words together and added a few numbers and symbols.",,"I stopped once I had a phrase that had rhythm to it when I repeated it in my head. It isn't an actual sentence, but close to it, so I thought I'd be able to memorize it more easily.",,"Much more secure","I repeated the password in my head a few times with a specific cadence.","Somewhat likely","Very likely","Woman","25 - 34","Master's Degree","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT.","1","0","0","0","1","0","0","0",NULL,"1","1","1","1","1","0",NULL,"1","1","1","1","1","0","1","0","0","0","1","0","0","0","0","0","0","0","1","0"
"36","1","1","1","treatment3","2-3","i save them on my browers app","i will use the name of the company and the date i joined the company","i created it from all my names",,,"i chose simples registered words student use in school","Somewhat more secure","i look thoroughly at the spelling and i keep that in mind","Very likely","Very likely","Man","25 - 34","Bachelor's Degree","I have an education in, or work in, the field of computer science, computer engineering or IT.","1","0","1","0","1","0","0","0",NULL,"1","1","1","0","0","0",NULL,"1","1","1","1","0","0","0","0","0","1","1","0","0","0","0","0","0","1","1","1"
"38","1","1","1","treatment3","2-3","I memorize the password or my browser saves it ","Pick a word that is associated with that company and add some numerical digits","my imagination",,,"I try to choose something that's easy for me to remember","About equally secure","It's a common phrase to me","Somewhat likely","Very unlikely","Woman","25 - 34","Bachelor's Degree","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT.","1","0","0","0","1","0","0","0",NULL,"0","0","0","0","0","1",NULL,"1","1","1","1","0","0","0","0","0","1","1","0","0","0","0","0","0","1","0","0"
"39","1","1","1","treatment1","2-3","I just have them in my head, if one doesn't work I try the other couple until they do.","I would utilize letters, numbers and symbols.","Something random came to my head that I don't think anyone would guess, and I went from there.","I used this one because I forgot the last word of the first one I tried.",,,"Much more secure","I sang in my head a little, ""truth DOT labor DOT salad DOT route DOT wipe."" I emphasized the dots in my head, is why I capitalized them here.","Somewhat unlikely","Very unlikely","Man","25 - 34","Associate's Degree","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT.","1","0","0","0","0","0","0","0",NULL,"1","1","1","0","0","0","I would feel safe using it, but hate to something in that's so long, every time.","2","1","2","2","0","0","0","0","0","1","1","0","0","0","0","0","0","1","0","0"
"40","1","1","1","treatment1","2-3","I mostly use the same password so I can remember and I have my browser save them on certain site.s","I would think of something I know well and a unique way of writint it as a password.","I thought of something I would remember and I wrote it uniquly","IDK I just felt like I liked it and could remember it easily.",,,"Somewhat more secure","I just repeated it in my head a couple of time.","Somewhat unlikely","Somewhat unlikely","Man","35 - 44","High school","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT.","1","0","0","0","1","0","0","0",NULL,"1","1","1","1","1","0",NULL,"6","1","6","6","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"41","1","1","1","treatment3","4-6","I have a few different passwords that I use.  Usually if the account has sensitive information, such as financial details, I'll make the password a bit more complicated.","I might use a random collection of words.","The strongest password I use was made by combining some random  objects I had around me at the time with some numbers and symbols.",,,"I was considering making it a sentence, but after the first two words I decided to throw in assorted objects around me.","Somewhat more secure","I repeated it to myself a few times until it stuck.","Somewhat likely","Somewhat likely","Man","25 - 34","High school","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT.","1","0","0","0","0","0","0","0",NULL,"1","0","0","0","1","0",NULL,"1","1","1","1","0","0","0","0","0","1","1","0","0","0","0","0","0","1","0","0"
"42","1","1","1","treatment1","more than 10","I use a third party Password manager to store and remember my passwords","I would use my third party password manager to generate/create a strong unique password to me","I used a third party password manager to create the strongest password I have","I thought it was a password that I could remember pretty easily ",,,"About equally secure","I repeated the password several times in my head and tried to visualize it","Neutral","Somewhat unlikely","Woman","55 - 64","High school","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT.","0","0","0","0","0","1","0","0",NULL,"1","1","1","1","1","0",NULL,"3","1","3","3","0","0","0","0","0","1","1","0","0","0","0","0","0","1","0","0"
"43","1","1","1","treatment1","4-6","If the site I used is a crucial like bank account or mortgage I use difficult password and change it regularly. I change my password regularly and use difficult one but i can remember them.","I will use difficult one like my contain CAPS and small letters with special characters and numbers.","CAPS+SMALL LETTERS+WORD+NUMBERS AND SPCIAL CHAR","It was easy to remembered all words.",,,"Somewhat less secure","The password is easy to remember I can still remember it.","Somewhat likely","Neutral","Woman","25 - 34","Master's Degree","I have an education in, or work in, the field of computer science, computer engineering or IT.","1","1","0","0","0","0","0","0",NULL,"1","0","0","0","1","0",NULL,"8","1","8","8","0","0","0","0","0","1","1","0","0","0","0","0","0","1","0","0"
