"id","demo_gender","demo_age","demo_education","demo_background"
"29","Man","25 - 34","Master's Degree","I have an education in, or work in, the field of computer science, computer engineering or IT."
"30","Woman","25 - 34","Trade, technical, or vocational training","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT."
"31","Woman","25 - 34","Master's Degree","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT."
"33","Man","25 - 34","Bachelor's Degree","I have an education in, or work in, the field of computer science, computer engineering or IT."
"35","Woman","25 - 34","Bachelor's Degree","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT."
"36","Man","25 - 34","Associate's Degree","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT."
"37","Man","35 - 44","High school","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT."
"38","Man","25 - 34","High school","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT."
"39","Woman","55 - 64","High school","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT."
"40","Woman","25 - 34","Master's Degree","I have an education in, or work in, the field of computer science, computer engineering or IT."
"47","Woman","18 - 24","Some college","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT."
"50","Man","45 - 54","Master's Degree","I have an education in, or work in, the field of computer science, computer engineering or IT."
"52","Man","25 - 34","Master's Degree","I have an education in, or work in, the field of computer science, computer engineering or IT."
"54","Prefer not to disclose","Prefer not to disclose","Prefer not to disclose","Prefer not to disclose"
"57","Man","18 - 24","Bachelor's Degree","I have an education in, or work in, the field of computer science, computer engineering or IT."
"58","Woman","18 - 24","Some college","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT."
"59","Woman","18 - 24","High school","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT."
"60","Man","25 - 34","Bachelor's Degree","I have an education in, or work in, the field of computer science, computer engineering or IT."
"61","Man","35 - 44","Master's Degree","I have an education in, or work in, the field of computer science, computer engineering or IT."
"62","Woman","25 - 34","Some college","I have an education in, or work in, the field of computer science, computer engineering or IT."
